"No.","Time","Source","Destination","Protocol","Length","Info"
"393","45.724099","192.168.56.103","192.168.56.102","TCP","60","563  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"394","45.724136","192.168.56.103","192.168.56.102","TCP","60","42  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"395","45.724149","192.168.56.103","192.168.56.102","TCP","60","6567  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"396","45.724162","192.168.56.103","192.168.56.102","TCP","60","37  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"397","45.724455","192.168.56.103","192.168.56.102","TCP","60","1174  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"398","45.724480","192.168.56.103","192.168.56.102","TCP","60","2522  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"399","45.724493","192.168.56.103","192.168.56.102","TCP","60","7002  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"400","45.724687","192.168.56.102","192.168.56.103","TCP","66","57221  >  1026 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"401","45.724688","192.168.56.102","192.168.56.103","TCP","66","57221  >  3351 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"402","45.724688","192.168.56.102","192.168.56.103","TCP","66","57221  >  5988 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"403","45.724688","192.168.56.102","192.168.56.103","TCP","66","57221  >  6646 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"404","45.724688","192.168.56.102","192.168.56.103","TCP","66","57221  >  1783 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"405","45.724688","192.168.56.102","192.168.56.103","TCP","66","57221  >  27353 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"406","45.724688","192.168.56.102","192.168.56.103","TCP","66","57221  >  6699 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"407","45.724717","192.168.56.103","192.168.56.102","TCP","60","1026  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"408","45.724739","192.168.56.103","192.168.56.102","TCP","60","3351  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"409","45.724753","192.168.56.103","192.168.56.102","TCP","60","5988  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"410","45.724768","192.168.56.103","192.168.56.102","TCP","60","6646  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"411","45.724779","192.168.56.103","192.168.56.102","TCP","60","1783  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"412","45.724834","192.168.56.103","192.168.56.102","TCP","60","27353  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"413","45.724874","192.168.56.103","192.168.56.102","TCP","60","6699  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"414","45.724982","192.168.56.102","192.168.56.103","TCP","66","57221  >  722 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"415","45.724996","192.168.56.103","192.168.56.102","TCP","60","722  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"416","45.725882","192.168.56.102","192.168.56.103","TCP","66","57221  >  515 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"417","45.725882","192.168.56.102","192.168.56.103","TCP","66","57221  >  13722 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
